Title	Type	Year	Author	Country	Budget	Box	Duration	Producer
Crossed	Comic	2006	Garth Ennis	United Kingdom				
Night of the Living Dead	Comic	2006	John Russo/Mike Wolfer	United Kingdom				
Night of the Living Dead	Comic	1993	Clive Barker	United Kingdom				
Patient Zero	Film	2018	Stefan Ruzowitztky	United Kingdom			93	
Redcon-1	Film	2018	Chee Keong Cheung	United Kingdom			117	Apocalypse Pictures
Last Humans	Film	2017	Nathan Hughes	United Kingdom				
Death Walks	Film	2016	Spencer Hawken	United Kingdom				
Still	Film	2016	Carl Timms	United Kingdom				
The Girl with All the Gifts	Film	2016	Colm McCarthy	United Kingdom	5250000	4802379	111	
Zombies In Tha Hood	Film	2016	Leon Mitchell	United Kingdom				
Darkest Day	Film	2015	Dan Rickard	United Kingdom				
The Rezort	Film	2015	Steve Barker	United Kingdom				
Before Dawn	Film	2013	Dominic Brunt	United Kingdom				
Outpost: Rise of the Spetsnaz	Film	2013	Kieran Parker	United Kingdom				
Stalled	Film	2013	Christian James	United Kingdom				
The Dead 2: India	Film	2013	Howard J. Ford/Jonathan Ford	United Kingdom				
The Dead Inside	Film	2013	Andrew Gilbert	United Kingdom				
The Zombie King	Film	2013	Aidan Belizaire	United Kingdom				
Zombie Run	Film	2013	Damian Morter	United Kingdom				
Airborne	Film	2012	Dominic Burns	United Kingdom	1200000			
Cockneys vs. Zombies	Film	2012	Matthias Hoene	United Kingdom		109518	88	Kintop/Limelight/Molinare
2001 Maniacs: Field of Screams	Film	2010	Tim Sullivan	United States			86	Tax Credit Finance/Social Capital/BloodWorks
Mad Cow	Film	2010	Michael Wright/Michael J. Rix	South Africa	50000		90	
